audio no,person no,speaker 1,speaker 2,question,answer
,,"Very well. Now, can you tell me now? How does this? Conditional probability. OK, how do we use this concept in speech recognition? ","So conditional probability in speech reference that it can be used in multiple ways like I'll give you a few examples which I can come up with right now. One is for when you're having a. Speech. To text models right like the one we are training the. Data for right now. You might not always be able to gather the word which is exactly pronounced, so you're going to use conditional probably to. You have contextual conditions like if I'm saying. Today is a good. The next one is probably going to be day. Because the probability of that occurring is better than today. Is a good. Night or something, right? Right. So you're going to use it to fill in the words which you are ambiguous about or which you're not able to convert back into texts with with 100% surety. ","Now, can you tell me now? How does this? Conditional probability. OK, how do we use this concept in speech recognition? ","So conditional probability in speech reference that it can be used in multiple ways like I'll give you a few examples which I can come up with right now. One is for when you're having a. Speech. To text models right like the one we are training the. Data for right now. You might not always be able to gather the word which is exactly pronounced, so you're going to use conditional probably to. You have contextual conditions like if I'm saying. Today is a good. The next one is probably going to be day. Because the probability of that occurring is better than today. Is a good. Night or something, right? Right. So you're going to use it to fill in the words which you are ambiguous about or which you're not able to convert back into texts with with 100% surety. "
,,Very good. You know what is TFIDF? ,Like there can be multiple applications. This is one which I could think of right off the top of my head. ,Very good. You know what is TFIDF? ,Like there can be multiple applications. This is one which I could think of right off the top of my head. 
,,"Scoring in. Absolutely no problem. That's fine. OK. So now from a text processing standpoint, as you are talking about some text. ","Yes, Sir. I believe I dropped off for a minute. "," So now from a text processing standpoint, as you are talking about some text. ",
,,I'm sorry. No problem. Are you able to hear me now? Hello. Pranav. ,"Yes, Sir. Hello. ",,
,,"Pranav, are you able to hear me? ",Hello I hope I'm audible. ,,
,,"I can hear you, Pranab, are you able to hear me? You can hear me, Mayank, right? ",Ohh I'll I'll text him too. ,,
,,Text him to probably drop off and log in again. ,OK. ,,
,,"Yes, Pranav, are you able to? Hear. ","Me. Yes, yes, yes. Sorry for the interrupt. ",,
,,"No, no, no problem that keeps happening. OK, So what I'm saying is that since we are talking about text processing, you know there are two, two measures we use in text processing. One is called term frequency, other is called inverse document frequency. ","Yes, Sir, and IDF. "," what I'm saying is that since we are talking about text processing, you know there are two, two measures we use in text processing. One is called term frequency, other is called inverse document frequency. ","Yes, Sir, and IDF. "
,,Correct. Can you tell me what is storm frequency? ,"The term frequency is basically the frequency of a a particular word occurring in that particular document. That is, the number of number of times that word has occurred in a particular document which we are taking divided by the total number of words in the document. And for idfs, you're taking a set of documents. You set a collection of documents basically, and your call dividing the total number of documents which are there the the log of the total number of documents which are there divided by the number of times the required word is occurring in that document. The term frequency is basically for an individual document, whereas a in what they call the other one IDF is basically for the OR collection of documents where you were looking to find a particular. Word. ",Can you tell me what is storm frequency? ,"The term frequency is basically the frequency of a a particular word occurring in that particular document. That is, the number of number of times that word has occurred in a particular document which we are taking divided by the total number of words in the document. And for idfs, you're taking a set of documents. You set a collection of documents basically, and your call dividing the total number of documents which are there the the log of the total number of documents which are there divided by the number of times the required word is occurring in that document. The term frequency is basically for an individual document, whereas a in what they call the other one IDF is basically for the OR collection of documents where you were looking to find a particular. Word. "
